section,persona,position,title,slug,confidence,rationale
Prologue,,1,Prologue,prologue,high,"Opening statement already designated as the book's prologue"
Spring,Biologist,1,These pets of mine,these-pets-of-mine,high,"Instinctive drives treated as living creatures"
Spring,Biologist,2,Blue canary,blue-canary,high,"Ecology, animal warning signals, and collective survival"
Spring,Biologist,3,Thoughts keep on buzzing,thoughts-keep-on-buzzing,high,"Author-confirmed Biologist placement; the buzzing mind and deferred sleep turn thought into bodily activity"
Spring,Biologist,4,The other shoe,the-other-shoe,high,"Author-confirmed Biologist placement; trauma is experienced through breath, panic, sleeplessness, and the body's remembered alarm"
Spring,Biologist,5,Dark lessons,dark-lessons,high,"A flower growing toward darkness becomes a model of learned harm"
Spring,Biologist,6,Betrayal,betrayal,medium,"Provisional crossover placement; autobiographical betrayal is experienced bodily, while the ending questions blame, forgiveness, sacrifice, and moral choice"
Spring,Biologist,7,Riding the pain,riding-the-pain,high,"The body, chronic pain, adaptation, damage, and survival"
Spring,Biologist,8,Water skippers,water-skippers,high,"An animal metaphor moves from sinking toward adaptation and light"
Spring,Biologist,9,The gift,the-gift,high,"Original Biologist placement; an autobiographical family memory passes from great-grandmother through mother to son"
Spring,Biologist,10,Yearning,yearning,high,"Grief rendered through insects, mould, animals, and decomposition"
Spring,Biologist,11,Blackberry bush,blackberry-bush,high,"Growth, thorns, inheritance, healing, and cultivating a kinder generation"
Spring,Biologist,12,Catching salmon,catching-salmon,high,"Author-confirmed Biologist placement; bodily sensation, instinct, water, and animal imagery frame ordinary intimacy"
Spring,Biologist,13,A place,a-place,high,"The body and desire are rendered through wind, sun, sand, water, skin, thirst, and shelter"
Spring,Biologist,14,You age like milk,you-age-like-milk,high,"Author-confirmed Biologist placement; aging, skin, bone, milk, cream, and cheese make bodily change comic and affectionate"
Spring,Biologist,15,"Recurrency",birth-below-earth-roots-grow-slow,high,"A brief recursive coda distils the chapter's images of growth and inheritance"
Summer,Silent Cartographer,1,Map I: Eulogy to Unborn,map-i-eulogy-to-unborn,high,"Original Cartographer placement; the witness records a bombed landscape and erased lives"
Summer,Silent Cartographer,2,Map II: Road That Only Goes Out,map-ii-road-that-only-goes-out,high,"Original Cartographer placement; the witness records displacement and the remains left along an outward road"
Summer,Silent Cartographer,3,Map III: Skirmish on the Border,map-iii-skirmish-on-the-border,high,"Original Cartographer placement; the witness exposes the absurd violence of borders"
Summer,Silent Cartographer,4,Scroll to another reel,scroll-to-another-reel,high,"The observer witnesses distant suffering through a screen and indicts passive spectatorship"
Summer,Silent Cartographer,5,The Felling of the Good Tree,the-felling-of-the-good-tree,high,"The witness names children killed in the destruction of a school"
Summer,Silent Cartographer,6,When the sky falls,when-the-sky-falls,high,"Collective catastrophe is observed through ordinary places, animals, elders, trees, and public helplessness"
Autumn,Philosopher,1,Autumn Prelude,autumn-prelude,high,"Published instruction places it before the Philosopher"
Autumn,Philosopher,2,Paintbox,paintbox,high,"Choice, possibility, time, depletion, and mortality"
Autumn,Philosopher,3,October Readme,october-readme,high,"Self-definition through four intellectual and mythic identities"
Autumn,Philosopher,4,Aivolved,aivolved,high,"Consciousness, artificial intimacy, embodiment, and personhood"
Autumn,Philosopher,5,Toil,toil,high,"An existential cycle of labour, recurrence, and self-denial"
Autumn,Philosopher,6,Shame is...,shame-is,high,"A personal confrontation broadens into questions of social judgment, conformity, shame, and pride"
Autumn,Philosopher,7,Brittle,brittle,high,"Personal wounds broaden into questions of validation, attachment, identity, and self-love"
Autumn,Philosopher,8,"Fears, unlisted",fears-unlisted,high,"A catalogue becomes a meditation on fear, death, and memory"
Autumn,Philosopher,9,Blue curtain,blue-curtain,high,"Author-confirmed Philosopher placement; abundance, memory, lost wonder, and inward weight sit beneath a familiar surface"
Autumn,Philosopher,10,no north,no-north,high,"A broken compass becomes an existential crisis of agency, exhaustion, and identity"
Autumn,Philosopher,11,Overflow,overflow,high,"A compact release turns the chapter from saturation and exhaustion toward reflection"
Autumn,Philosopher,12,Linocut,linocut,high,"Memory, legacy, influence, decay, and the traces a life leaves"
Autumn,Philosopher,13,A Spiral Under,a-spiral-under,high,"Recursive questions of identity, multiplicity, and how others perceive the self"
Autumn,Philosopher,14,A Song of Home,a-song-of-home,high,"Author-confirmed Philosopher placement; the outward journey resolves into an inward understanding of home"
Autumn,Philosopher,15,Legacy,legacy,high,"A quiet final redefinition of achievement as kindness"
Winter,Ethnographer,1,Coffee shop,coffee-shop,high,"Observation of strangers, social distance, and a shared modern ritual"
Winter,Ethnographer,2,Twelve Plates on Christmas Eve,twelve-plates-on-christmas-eve,high,"A communal ritual gathers readers at the winter table before the fireside tales begin"
Winter,Ethnographer,3,Koschei and the Prince,koschei-and-the-prince,high,"Original Ethnographer placement and fireside folktale"
Winter,Ethnographer,4,Farmer and the One-Eyed Likho,farmer-and-the-one-eyed-likho,high,"Original Ethnographer placement and fireside folktale"
Winter,Ethnographer,5,Leshy and the Hunter,leshy-and-the-hunter,high,"Original Ethnographer placement and fireside folktale"
Winter,Ethnographer,6,Love in the C and D key,love-in-the-c-and-d-key,high,"An occasional toast rooted in communal celebration"
Winter,Ethnographer,7,The Heirs,the-heirs,high,"Author-confirmed Ethnographer placement; teaching and cultural inheritance pass responsibility from one generation to the next"
Loose Leaves,,1,Work slips,work-slips,high,"Standalone two-line work-and-hobby fragment"
Loose Leaves,,2,Breathe in the colours,breathe-in-the-colours,high,"Image-based sensory miniature"
Loose Leaves,,3,Silence is the smallest poem,silence-is-the-smallest-poem,high,"Conceptual recursion miniature"
